Cu_lat,Cu_long,Area_lat,Area_long,Region,Division,Subregion,Area/Kingdom,Culture,Alt_culture_names,Arensberg-Lomax_clusters,Focal_years,C_sample_size,Koppen_climate_terrain,Koppen_code,Arensberg/Lomax_taxon,Taxon_id,Language,Lang_Family,Lang_Family_Tree,ISO_code,Glottocode,Country,culture_id,D-Place_Id,People/Culture
-0.71,15.75,-0.54,16.2,Africa,Central Africa,Equatorial Central Africa,"Cuvette Dept, C Congo",Kouyou,Koyo; Kuyu,Tropical Gardeners,1946,3.0,Tropical Savannah,Aw,,,Koyo,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Bantoid, Narrow Bantu, Central-Western Bantu, Koyo-Mboshi",ISO 639-3: koh,koyo1242,Republic of the Congo,19022,,
-1.54,20.43,0.17,19.02,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,Baseka; Mongo-Ekonde,Tropical Gardeners,1952,10.0,"Tropical Rainforest, Monsoon, Tropical Savanna","Af, Am, Aw ",AH-Waterside,scfal569,Mongo,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid",ISO 639-3: lol,mong1338,Democratic Republic of the Congo,15027,,
2.01,27.95,3.33,28.33,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Budu,Babudu; Bodo; Ebudu; Kibudu,Tropical Gardeners,1954,2.0,"Tropical Rainforest, Monsoon, Tropical Savanna","Af, Am, Aw ",AH-Rain Forest,scfal577,Budu,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Bantoid, Narrow Bantu, Lebonya, Nyali-Ndaka-Mbo-Budu-Vanuma",ISO 639-3: buu,budu1250,Democratic Republic of the Congo,12662,,
2.68,28.99,3.33,28.33,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Mamvu,Momfu,Tropical Gardeners,1952,8.0,Tropical Savannah,Aw,AH-Tropical Forest,scfal761,Mamvu,Central Sudanic,"Atlantic-Congo, Volta-Congo, Adamawa-Ubangi",ISO 639-3: mdi,mamv1243,Democratic Republic of the Congo,20681,,
2.81,27.83,3.33,28.33,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Mayogo,,Tropical Gardeners,1952; 1949-50,10.0,"Monsoon, Tropical Savannah","Am, Aw",AH-Tropical Forest,scfal763,Mayogo,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Central Western Bantu, Koyo-Mboshi",ISO 639-3: mdm,mayo1261,Democratic Republic of the Congo,21044,,
3.65,28.59,3.33,28.33,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Ndongo,,Tropical Gardeners,1952,2.0,Tropical Savannah,Aw,,,Lingala-Bangala,Atlantic-Congo,,,ling1269,Democratic Republic of the Congo,22331,,
1.17,28.76,1.83,29.5,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo",Forest Bira,Kango; Bakango; Batchua; Bila,Tropical Gardeners,1954,2.0,Tropical Savannah,Aw,AH-Tropical Forest,scfal721,Bila,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Narrow Bantu, Old Bomokandian, Komoic, Bila-Kaiku",ISO 639-3: bip,bila1255,Democratic Republic of the Congo,15412,,
1.57,30.23,1.83,29.5,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo",Lendu,Balendru,Tropical Gardeners,1952,3.0,"Tropical Rainforest, Monsoon, Tropical Savanna","Af, Am, Aw ",AH-Savannah,scfal868,Lendu,Central Sudanic,"Central Sudanic, Lenduic, Bale",ISO 639-3: led,lend1245,Democratic Republic of the Congo,19801,,
1.55,28.44,1.83,29.5,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo",Lese,,Tropical Gardeners,1958,1.0,"Tropical Rainforest, Monsoon, Tropical Savanna","Af, Am, Aw ",AH-Savannah,scfal869,Lese,Central Sudanic,"Central Sudanic, Membi-Mangbutu-Efe, Mangbutu-Efe, Leseic",ISO 639-3: les,lese1243,Democratic Republic of the Congo,19856,,
1.64,26.41,1.83,29.5,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo ",BaNguana,BaTambatamba; BaNgwana,Tropical Gardeners; Traders,1958,2.0,"Monsoon, Tropical Savannah","Am, Aw",,,Kiswahili,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Sabaki-Swahili, Mombasa-Lamu-Inland Swahili, Swahili",ISO 639-3: swh,swah1254,Democratic Republic of the Congo,11600,,"Formerly Zanzibar Arabs, the BaNguana were involved in the slave trade, and settled near hunter-gatherers in Ituri Forest."
