song_id,Local_lat,Local_long,Homeland_lat,Homeland_long,culture_id,Audio_notes,Duration,Archival_source#,Song,Genre,Song_notes,Performers,Instruments,Gender of Vocalists,Lyrics,Recorded_by,Year,Publisher,Publcation_collection,Repository
458,-0.48,15.89,,,19022,,0:01:22,4A16.B7; 4A16 = T6617,Kabe,Magic Song; Medicine Chant; Alligator Chant; Animal Song,"This is a magical chant, called Kabe, formely sung by the medicine-men to allure the alligators. The musical instrument that's used in this chant is made of fhe antelope horn; it has a hole in the side for a mouthpiece. The chorus is very compact and gives - some idea of what Andre Gide called ""lepaisseur harmonique"" unusual to certain African songs. (Gilbert Rouget, Music of Equatorial Africa, Ethnic Folkways Library, Album No. FE 4402, 1950)","Male voices, horn, drums, sticks, handclapping",Male Voices; Horn; Drums; Sticks; Handclapping,Men,,"Gilbert Rouget, André Didier, Musée de l'Homme, Ogooué-Congo Expedition",1946,Smithsonian Folkways,"Music of Equatorial Africa. Folkways Records FE4402, 1950, B7","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie, http://archives.crem-cnrs.fr/; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
459,-0.48,15.89,,,19022,,0:01:55,4A16.B8; 4A16 = T6617,Kano,Childbirth Song,"This tune is called Kano and mostly sung to celebrate the birth of twins. The women form and dance in a circle taking small steps. One of the women strikes a large iron bell with a stick and in the center, three drums are beaten by young men. (Gilbert Rouget, Music of Equatorial Africa, Ethnic Folkways Library, Album No. FE 4402, 1950)","Women's chorus, male drummers, female bell player ",Female Voices; Drums; Bell,Women,,"Gilbert Rouget, André Didier, Musée de l'Homme, Ogooué-Congo Expedition",1946,Smithsonian Folkways,"Music of Equatorial Africa. Folkways Records FE4402, 1950, B6","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie, http://archives.crem-cnrs.fr/; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
9228,-0.48,15.89,,,19022,,0:00:42,4A32.B32; WFS1B.21,Healing Song,Healing Song,"The main singer plays a zither harp, with strings made of the vein of a palm leaf divided into three long fibers. The whole piece is based on the three notes given by these fibers.","Singers, with zither harp",Voices; Lead Male Voice; Zither Harp of Palm Fibers,Men,,"Gilbert Rouget, André Didier, Musée de l'Homme, Ogooué-Congo Expedition",1946,Columbia Records,"Columbia World Library of Folk & Primitive Music, Vol. II: African Music from the French Colonies. Columbia Masterworks SL205","Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie, http://archives.crem-cnrs.fr/; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
2137,-0.74,18.11,,,15027,,0:02:19,4A33.B9,Boloi,Dance Song,General dance song,Ten women wtih bojeke rattle and male chorus,10 Female Voices; Male Voices; Boyeke Rattle,Mixed adults,,Alan P. Merriam; Barbara Merriam,1952,Washington Records,Ekonda: Tribal Music of the Congo. Washington Records WLP709,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
2138,-0.74,18.11,,,15027,,0:03:17,4A33.B8,Ikokole,Dance Song,Dance song with slit drum,Ten men sing with two boyeke slit drums,10 Male Voices; Boyeke Slit Drums,Men,,Alan P. Merriam; Barbara Merriam,1952,Washington Records,Ekonda: Tribal Music of the Congo. Washington Records WLP709,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
2139,-0.74,18.11,,,15027,,0:01:50,4A33.B7,Bongo,Social Dance; Dance Song; Proverbs,"A social dance song, using proverbs as lyrics. Bongo is the name of a man.","Eight men singing, with two boyeke",8 Male Voices; 2 Boyeke Slit Drums,Men,,Alan P. Merriam; Barbara Merriam,1952,Washington Records,Ekonda: Tribal Music of the Congo. Washington Records WLP709,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
2140,-0.74,18.11,,,15027,,0:02:13,4A33.B6,Lela-Lela,Exorcism Song; Spirit Song,"""Lela-Lela"" translates as ""Cry, Cry."" This song is used to drive away evil spirits, and is accompanied by a Menda (a clay pot blown into while tongue is vibrated).","Four men sing with two boyeke, lokomb, and menda",4 Male Voices; Boyeke; Lokomb; Maleda,Men,,Alan P. Merriam; Barbara Merriam,1952,Washington Records,Ekonda: Tribal Music of the Congo. Washington Records WLP709,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
2141,-0.74,18.11,,,15027,,0:01:48,4A33.B4,Ntole Bayintu,Gathering Song,An unusual kind of solo song used for gathering food. The singer accompanies himself on the boyeke.,Boto Laurent sings with boyeke.,Male Voice; Boyeke,Men,,Alan P. Merriam; Barbara Merriam,1952,Washington Records,Ekonda: Tribal Music of the Congo. Washington Records WLP709,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
2142,-0.74,18.11,,,15027,,0:01:43,4A33.B3,Bokungu,Tree Song; Nature Song ,Singers compare themselves to a Bokungu (a large tree).,"Eight men, two boyeke ",8 Male Voices; 2 Boyeke,Men,,Alan P. Merriam; Barbara Merriam,1952,Washington Records,Ekonda: Tribal Music of the Congo. Washington Records WLP709,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
2143,-0.74,18.11,,,15027,,0:03:51,4A33.B2,Nakobeka,Banana Song,Song about a banana,Two women sing with male and female boyeke players.,2 Female Voices; 2 Boyeke,Women,,Alan P. Merriam; Barbara Merriam,1952,Washington Records,Ekonda: Tribal Music of the Congo. Washington Records WLP709,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
