var_id,code,description,name
line_1,1,No singers,NoSinger
line_1,2,"One solo singer, whether or not accompanied by instruments.",SoloSinger
line_1,3,"One singer with an audience whose dancing, shouting, etc. can be heard. In practice we omitted this point and coded all solos .",SoloSingerAudience
line_1,4,"Two or more singers alternate in singing a melody, or split the melody between them in some way. Only one singer is heard at a time.",SoloSingerConsecutive
line_1,5,"A single predominant voice—a leader— stands out above the general effect of social unison. The leader’s voice is usually louder and more forceful than the others. Sometimes the leader imitates phrases or other parts of the melody. Sometimes the leader seems to spur the group on. In general, a predominant part is louder, more elaborate, more active, or longer than the others.",UnisonPredominantLeader
line_1,6,"No predominant lead voice is steadily heard over the social unison. Sometimes a leader can be heard briefly above the group at beginnings of sections, but as soon as the group joins in, the leader’s voice is submerged.",SocialUnisonPredominantGroup
line_1,7,"A diffuse, individualized group performance is rhythmically and/or melodically diffuse, such that in extreme cases the singers do not seem to be aware of one another at all.",DiffuseGroup
line_1,8,"Situations in which there is alternation between a solo voice and a chorus with a perceptible, if sometimes very slight, pause between the two parts.",LeaderGroup
line_1,9,"Two groups of two or more singers interact as described for 7, above. The same rules for double coding apply.",GroupGroup
line_1,10,"A more integrated alternation of leader and chorus, whose parts overlap so that one begins before the other ends. In extreme cases the chorus may also be heard backing the leader during his or her own part. However, the leader is still predominant; his or her part is longer than that of the group and often more elaborate. The group’s activity supports and contrasts with the leader’s part.",LeaderGroupOverlap
line_1,11,"This is the same as 10, except that the group predominates rather than the leader. Although it may sometimes support the leader, the group is very active, and sings more than half of the time.",GroupLeaderOverlapAlternation
line_1,12,"Two or more groups overlap as in 10. In those rare cases where the groups are radically different in size (for example, two singers versus 20), 12 is still coded, even though the smaller group may give the impression of leading the larger.",GroupGroupOverlapAlternation
line_1,13,"A group in which several voices overlap in a rhythmically coordinated relationship. Often there is no clear leading part; all seem about equally important. Although some singers may be duplicating another part at the octave or in unison, the general impression is of a group of individuals, each with his or her own part, interacting in such a way as to create a homogeneous texture.",Interlock
line_2,1,No accompaniment.,NonOccurence
line_2,2,A small orchestra (1-3 players) accompanying the vocal part and subordinate to it. One or more of the instruments may perform the melody.,SmallOrchestra
line_2,3,A large orchestra (4+ players) in the same relationship as 2.,LargeOrchestra
line_2,5,A large or small orchestra predominant over the sung part. The orchestra’s part takes up more time and/or is considerably louder than the sung part.,OrchestraOverSong
line_2,6,The orchestra (large or small) plays interludes between passages. It is never heard simultaneously with the vocal part.,OrchestraBetweenInterludes
line_2,8,"A small orchestra (1-3 players) that seems unrelated or only casually related to the vocal part. The effect resembles that described under 7 (ind. group) on Line 1, and is the result, usually, of some absence of rhythmic coordination between instruments and voices.",SmallOrchestraUnrelatedVocal
line_2,9,A large orchestra (4+ players) that seems unrelated or only casually related to the vocal part. ,LargeOrchestraUnrelatedVocal
line_2,12,"A small orchestra (1-3 players) in complementary relationship to singer(s). The instruments are basically coordinated with and subordinate to the vocal part, but provide more than a mere background for the voices, as in 2 (small orch) and 3 (large orch). ",SmallOrchestraRelatedVocal
line_2,13,A large orchestra (4+ players) in complementary relationship to singer(s). ,LargeOrchestraRelatedVocal
line_3,1,Non-occurrence. No instruments.,NonOccurence
line_3,2,One solo instrument. An accompaniment or a solo on one instrument.,SoloInstrument
line_3,4,Series of solos. One instrumental solo after another.,SoloSeries
line_3,5,"Social unison with leader predominant. Other instruments are subordinate to the leader, playing the same tune in the same way or in simple accompanying parts.",UnisonPredominantLeader
line_3,6,"Social unison with no predominant instrument. Unison performances in which no single instrument takes the lead, and performances in which there is a simple accompanying relationship between the leading instrument and the other instrument(s).",SocialUnisonNoPredominantInstrument
line_3,7,"Diffuse/individualized relationship, leader predominant. Similar to 7 (ind./var. group) in Line 1, but applied to the relationships among the instruments of the orchestra. Single lead instrument is predominant.",DiffuseLeaderPredominant
line_3,8,"Diffuse/individualized relationship, group predominant. Similar to 7 (ind./var. group) in Line 1, but applied to the relationships among the instruments of the orchestra. Either the leader is subordinate to the group or leadership shifts from one instrument to another.",DiffuseGroupPredominant
line_3,9,Simple alternation: leader-group. A simple antiphonal relationship between a single lead instrument and an orchestra (see 8 Line 1 alt. ldr-grp).,LeaderGroupAlternation
line_3,10, Simple alternation: group-group. An orchestra divided into two or more parts with an antiphonal relationship between them.,GroupGroupAlternation
line_3,11,"Overlapping alternation: leader-group. Alternation between a single instrument and a group, but with overlap (see 10, Line 1 overlap: ldr-grp).",LeaderGroupOverlapAlternation
line_3,12,Overlapping alternation: group-leader. Alternation between a single instrument and a group with no one instrument in the foreground more often than the others.,GroupLeaderOverlapAlternation
line_3,13,"Overlapping alternation: group-group. The orchestra is divided into two or more groups, each of which acts as a unit, with significant overlap between them, or in an interlocking relationship, as described in Line 1 (13).",GroupGroupOverlapAlternation
line_4,1,"Two or more singers who are totally unrelated musically. Each singer has their own part and goes their own way, although they sing simultaneously.",Unrelated
line_4,4,Monophony. Only one voice is heard at a time.,Monophony
line_4,7,"Unison. Two or more voices singing at the same melody in unison or octaves, and conforming to the same rhythmic pattern.",Unison
line_4,10,"Heterophony. Each voice sings the same melody in a slightly different manner. The variation is usually rhythmic, with some voices trailing behind, others pushing forward, or with some voices more rhythmically active than others.",Heterophony
line_4,13,"Polyphony. The use of simultaneously produced intervals other than unison or the octave. (Line 22 gives six categories of polyphony.) Two-part intervals of this kind are considered polyphony, as well as harmonies of greater complexity. ",Polyphony
line_5,1,Solo,Solo
