song_id,Preferred_name,society_id,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37
4241,'Are'are,10000,64,2,2,8192,1024,1024,2,2,2,16,2048,8192,2,2,512,64,1024,512,512,1024,1024,1024,8192,512,2,512,8192,512,128,16,8192,1024,1024,16,128,1024,128
4246,'Are'are,10000,64,4096,8192,128,8192,8192,8192,8192,8192,8192,512,8,512,8192,512,4096,128,8192,16,128,8192,2,8192,32,16,512,512,8192,2,8192,128,1024,8192,16,1024,1024,8192
30075,'Are'are,10000,8208,2,2,8192,8192,1024,2,2,2,1024,64,8192,2,2,512,8192,1024,2048,512,128,8192,8192,8192,512,2,8192,8192,512,2,1024,8192,144,1024,8192,8192,8192,8192
30120,'Are'are,10000,8208,2,2,8192,1024,1024,2,2,2,128,64,8192,2,2,512,2048,128,8192,2,128,1024,8192,8192,512,2,8192,8192,32,2,128,8192,128,256,1024,8192,8192,1024
30121,'Are'are,10000,32,2,2,8192,1024,1024,2,2,2,128,64,8,2,2,512,64,128,512,2,1024,8192,256,8192,32,2,8192,8192,32,128,128,8192,128,256,1024,8192,8192,1024
30122,'Are'are,10000,8208,2,2,8192,1024,128,2,2,2,16,2048,8192,2,2,32,32,128,8,2,1024,8192,8192,8192,32,16,32,8192,32,2,16,8192,1040,256,1024,8192,8192,1024
30123,'Are'are,10000,8208,2,2,8192,1024,128,2,2,2,16,2048,8192,2,2,32,32,128,512,16,1024,8192,8192,8192,32,16,32,8192,32,2,16,8192,1040,256,1024,8192,8192,1024
30124,'Are'are,10000,8192,32,64,8192,128,1024,128,8192,8192,128,64,8192,64,128,32,32,128,512,2,8192,8192,8200,1024,2080,1040,512,8192,32,128,128,128,1026,8192,128,8192,8192,8192
30125,'Are'are,10000,8192,32,64,8192,128,1024,128,8192,8192,128,64,8192,64,128,32,32,1024,8,2,1024,8192,8200,1024,2080,1040,512,8192,32,128,128,8192,1040,256,128,8192,8192,8192
30126,'Are'are,10000,8336,512,64,8192,128,16,128,8192,1024,128,2048,8192,64,8,512,2048,128,8192,2,1024,8192,8192,1024,512,1024,32,8192,32,2,128,128,1040,256,128,1024,1024,1024
30127,'Are'are,10000,8208,8,64,8192,128,1024,128,8192,128,128,64,8320,8,8,512,32,1024,512,2,128,1024,8192,8192,512,16,512,8192,32,128,128,8192,128,256,128,1024,1024,1024
30128,'Are'are,10000,8336,512,64,8192,128,16,128,8192,8192,128,2048,8192,64,8,512,2048,1024,8192,2,128,128,8200,1024,512,128,32,8192,32,128,128,8192,128,256,128,1024,1024,1024
4428,Abaluhya,10027,256,4,2048,128,128,1024,8192,16,1024,0,2048,8,64,2048,512,4,1024,2,16,16,1024,2,8192,2048,16,8192,8192,8192,8192,0,8192,1024,64,16,16,1024,1024
4429,Abaluhya,10027,256,8192,2048,128,128,1024,8192,128,8192,128,2048,8,64,2048,512,512,1024,2048,16,16,128,2,8192,2048,16,8192,8192,8192,128,128,8192,1024,256,16,144,1024,1024
4430,Abaluhya,10027,32,8192,2048,128,128,1024,8192,128,8192,128,2048,8,2048,2048,512,8,1024,8,16,128,128,2,8192,2048,144,8192,8192,8192,8192,128,8192,1024,256,16,16,1024,16
4431,Abaluhya,10027,80,8192,2048,128,128,1024,8192,1024,1024,1024,64,8,64,2048,0,64,1024,256,2,128,128,2,8192,2048,128,8192,8192,512,128,1024,8192,1024,64,144,16,1024,1024
30115,Abaluhya,10027,64,2,2,8192,1024,8192,2,2,2,128,2048,8,2,2,512,8,8320,2,16,128,128,256,8192,512,128,8192,8192,8192,8192,128,8192,128,256,8192,1024,1024,1024
30116,Abaluhya,10027,256,4,64,128,8192,8192,128,8192,8192,1024,512,8,8,8,512,32,8320,32,16,1024,1024,2,9216,512,128,8192,8192,512,8192,1024,8192,128,1024,8192,1024,128,1024
30117,Abaluhya,10027,4,4100,2048,16,2,2,8192,1024,8192,128,512,2,520,128,512,256,1024,8192,16,128,16,2,8192,512,128,8192,8192,8192,8192,128,8192,128,256,8192,8192,128,128
30118,Abaluhya,10027,256,4,64,128,8192,8192,128,8192,8192,128,512,8,64,128,8192,128,8208,2048,2,1024,128,2,1024,2048,128,8192,8192,8192,8192,128,8192,144,256,8192,1024,128,128
30119,Abaluhya,10027,256,4096,4096,128,8192,8192,8192,128,8192,128,2048,8,2048,128,512,8,128,2,2,1024,128,2,8320,2048,1024,8192,8192,512,128,128,8192,1040,256,8192,1024,16,128
2209,Abelam,10033,4352,2,2,8192,1024,8192,2,2,2,1024,8192,8192,2,2,512,2,2,2,2,1024,8192,8192,8192,8,1024,2,8192,2,128,1024,8192,1024,64,1024,16,1024,8192
2210,Abelam,10033,256,2,2,8192,1024,8192,2,2,2,128,8192,8192,2,2,512,2,130,2,512,1024,1024,256,8192,2,1024,2,8192,2,8192,128,8192,130,64,1024,16,1024,8192
2211,Abelam,10033,32,8,64,128,128,1024,128,8192,16,128,8192,8,2048,8,512,2,2,2,2,128,1024,2,8192,32,1024,2,32,2,8192,128,8192,128,256,1024,128,128,1024
2212,Abelam,10033,4096,2,2,128,1024,1024,2,2,2,128,8192,8,2,2,512,2,1024,2,512,128,128,2,8192,8,1024,2,8192,2,8192,128,8192,8192,256,1024,16,16,8192
2213,Abelam,10033,768,8,64,8192,8192,8192,128,8192,1024,1024,10240,8,8,8,512,2,1024,2,512,1024,1024,8,8192,512,1024,2,512,32,8192,1024,8192,128,256,1024,128,128,1024
2214,Abelam,10033,64,2,2,9216,128,8192,2,2,2,8192,8192,8,2,2,512,2,128,2,16,1024,1024,64,8192,512,1024,2,8192,2,2,8192,8192,1024,256,1024,16,1024,8192
2216,Abelam,10033,4,2,2,16,2,2,2,2,2,2,8192,2,2,2,8192,2,8192,8,2,16,128,2,1024,2,1024,2,8192,512,8192,2,8192,128,64,16,2,128,1024
2217,Abelam,10033,2048,64,256,2,128,2,128,8192,128,1024,8192,2,8192,32,8192,8192,1024,8192,2,130,130,2,8192,2,8192,2,2,2,2,1024,8192,130,64,16,16,16,8192
