Society_latitude,Society_longitude,Homeland_latitude_of_diasporic_peoples,Homeland_longitude_of_diasporic_peoples,Area_latitude,Area_longitude,Region,Division,Subregion,Area,society,alternative_names,People,People_alternative_names,People2,People3,Preindustrial_Style_clusters,Focal_years,Koppen_climate_terrain,Koppen_code,Preindustrial_Subsistence_taxon,Taxon_id,cantometrics_samplesize,minutage_samplesize,parlametrics_samplesize,phonotactics_samplesize,Language,ISO6393,GlottoID,LevelGlottoID,LangLevParent,FamilyLevGlottocode,Country,Country_id,society_id,C_cid,M_cid,P_cid,Ph_cid,Ch_cid,EA_Prov_name,EA_Prov_#,Culture_Wiki,Society_summary,Notes_1,Notes_2,Culture Sources,"Priority_ranking_for_further_review (see worksheet ""Societies_ranked_for_review"")",HOW WELL WAS THE SOCIETY CHECKED BY KK?,KK_warning_or_question,ADMIN_NOTES_on_how_language_and_D-PLACE_matches_were_assigned,default_DPL_soc_id,default_DPL_PrefName,default_DPL_OrigName,xd_id_1,total_DPLACE_soc_w_xd_id,eHRAF_soc_w_xd_id?,eHRAF_OWC,eHRAF_OWC_Name,eHRAF_SubOWC_in_DPLACE,eHRAF_SubOWC_Name_in_DPLACE,eHRAF_subOWC_FINAL_STATUS_2021,Does_GJB_id_match_multiple_xd_ids,default_DPL_soc_id_2,default_DPL_PrefName_2,default_DPL_OrigName_2,xd_id_2,total_DPLACE_soc_w_xd_id_2,eHRAF_soc_w_xd_id_2?,eHRAF_OWC,eHRAF_OWC_Name,eHRAF_SubOWC_in_DPLACE,eHRAF_SubOWC_Name_in_DPLACE,eHRAF_subOWC_FINAL_STATUS_2021,STATUS_JULY_31_2021,language match checked by KK,D-PLACE match checked by KK,KK_ISSUE
1.55,28.44,,,1.83,29.5,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo",Lese,,Membi-Mangbutu-Efe (8),,Central Sudanic Peoples,West & Central African Peoples,Tropical Gardeners,1958,"Tropical Rainforest, Monsoon, Tropical Savanna","Af, Am, Aw ",AH-Savannah,scfal869,1,,,,Lese,ISO 639-3: les,lese1243,language,lese1243,cent2225,Democratic Republic of the Congo,,19856,19856,,,,,Azande-Mangbetu,34,wiki,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottolese1243 @Ethnoles @WikiLese,10,AUTOMATED NAME CHECK ONLY (SOCIETY/LANGUAGE NAMES),0,D-PLACE match based on name; language from D-PLACE match,Ai30,Lese,Lese (Ai30),xd360,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,D-PLACE_GJB_society_names_AND_languages_match,DONE,DONE,
2.36,31.01,,,2.79,30.86,Africa,Central Africa,Equatorial Central Africa,N E DR Congo/ N W Uganda,Alur,Okoro; Jonam,Luo Burun Peoples,,Nilotic Peoples,West & Central African Peoples,African Pastoralists,1952,Tropical Savannah,Aw,AH-Savannah,scfal789,1,,,,Alur,ISO 639-3: alz,alur1250,language,alur1250,nilo1247,Democratic Republic of the Congo; Uganda,,10396,10396,,,,,Northern Nilotes,37,wiki,"The Alur people of N W Uganda are known for their musical artistry (drums, harps, horns, singing, dancing), and for their uniquely pleasing art objects and material culture. ",,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottoalur1250 @Ethnoalz @WikiAlur,10,AUTOMATED NAME CHECK ONLY (SOCIETY/LANGUAGE NAMES),0,D-PLACE match based on name; language from D-PLACE match,Aj17,Alur,Alur (Aj17),xd392,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,D-PLACE_GJB_society_names_AND_languages_match,DONE,DONE,
-2.27,14.44,,,-2.07,15.37,Africa,Central Africa,Equatorial Central Africa,"Plateaux Dept, C Congo",Kukuya Teke,Kukẅa; Koukouya; Kikukuya,Njebe-Mbete-Teke (22),,Central Western Bantu,West & Central African Peoples,Tropical Gardeners,1946,"Monsoon, Tropical Savannah","Am, Aw",,,1,,,,Teke-Kukuya,ISO 639-3: kkw,teke1280,language,teke1280,atla1278,Republic of the Congo,,19014,19014,,,,,,,wiki,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottoteke1280 @Ethnokkw @WikiKukuya,10,NOT CHECKED BY KK,0,NOT CHECKED BY KK,NOT CHECKED BY KK,,,,,,,,,,,,,,,,,,,,,,,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,
-5.12,18.04,,,-5.13,15.69,Africa,Central Africa,Equatorial Central Africa,S W DR Congo,Mbala,Ambala; Apeenzi; Bala; Bambala; Ba Mbala; Bampem; Bapeenzi; Bapene; Gimbala; Mbalas; Mu Mbala; Rumbala,S W Equatorial Bantu,,Njila Peoples,West & Central African Peoples,Tropical Gardeners,1935-36,"Tropical Rainforest, Monsoon, Tropical Savannah","Af, Am, Aw",Unclassified Food Producers,scfal1252,1,,,,Mbala,ISO 639-3: mdp,mbal1257,language,mbal1257,atla1278,Democratic Republic of the Congo,,21077,21077,,,,,Western Central Bantu,6,wiki,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottombal1257 @Ethnomdp @WikiKwiluProvince,10,AUTOMATED NAME CHECK ONLY (SOCIETY/LANGUAGE NAMES),0,D-PLACE match based on name; language from D-PLACE match,Ac15,Mbala,Mbala (Ac15),xd39,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,D-PLACE_GJB_society_names_AND_languages_match,DONE,DONE,
3.96,16.59,,,5.34,23.13,Africa,Central Africa,N Central Africa,Cameroon/ Central African Rep/ DR Congo/ South Sudan,Banda,,Banda Ubangi Peoples,,Ubangi Peoples,West & Central African Peoples,Tropical Gardeners,1964,Tropical Savannah,Aw,AH-Sudan,scfal596,1,,,,West Central Banda,,west2458,language,west2458,atla1278,Cameroon; Central African Republic; Democratic Republic of the Congo; South Sudan,,11584,11584,,,,11584,Ubangi-Shari,33,wiki,"Banda of the Central African Republic and neighbouring countries live in hamlets and scattered homesteads under local governance of a headman. They traditonally practice patrilineal descent. A large number of Banda people also live in Democratic Republic of the Congo and Cameroon, with some small numbers possibly in Sudan.",,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @WikiBanda @Glottowest2458,10,AUTOMATED NAME CHECK ONLY (SOCIETY/LANGUAGE NAMES),0,D-PLACE match based on name; language from D-PLACE match,Ai1,Banda,Banda (Ai1),xd337,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,D-PLACE_GJB_society_names_match; language_assigned_based_on_D-PLACE_match,DONE,DONE,
7.65,16.73,,,8.95,14.71,Africa,Central Africa,N Central Africa,Cameroon/ Chad,Masa,Chaddic Nilotes,Masa Chadic Peoples,,Chadic Peoples,West & Central African Peoples,Tropical Gardeners,c. 1950,Semi Arid Steppe Hot,BSh,AH-Savannah,scfal881,1,,,,Masana,ISO 639-3: mcn,masa1322,language,masa1322,afro1255,Cameroon; Chad,,20945,20945,,,,20945,Lake Chad,31,wiki,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottomasa1322 @Ethnomcn @WikiMasa,10,AUTOMATED NAME CHECK ONLY (SOCIETY/LANGUAGE NAMES),0,D-PLACE match based on name; language from D-PLACE match,Ai9,Masa,Masa (Ai9),xd383,2,Yes,FI21,Masa,FI21,Masa,FI21_GOOD,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,D-PLACE_GJB_society_names_AND_languages_match,DONE,DONE,
5.95,15.26,,,3.5,17.19,Africa,Central Africa,N Central Africa,E C Cameroon/ W Central African Rep/ N Congo/ N W DR Congo ,Baya,Gbaya,Gbaya Peoples,,,West & Central African Peoples,Tropical Gardeners,1946,Tropical Savannah,Aw,AH-Tropical Forest,scfal719,1,,,,Northwest Gbaya,,nort2775,language,nort2775,atla1278,Cameroon; Central African Republic; Republic of the Congo,,11892,11892,,,,,Ubangi-Shari,33,wiki,The Baya of S W Central African Republic traditionally observed patrilineal descent.,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @WikiGbaya @Glottonort2775,10,AUTOMATED NAME CHECK ONLY (SOCIETY/LANGUAGE NAMES),0,D-PLACE match based on name; language from D-PLACE match,Ai7,Gbaya,Baya (Ai7),xd381,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,D-PLACE_GJB_society_names_match; language_assigned_based_on_D-PLACE_match,DONE,DONE,
8.59,18.06,,,8.22,24.63,Africa,Central Africa,N Central Africa,N W Central African Rep/ S Chad/ S W Sudan,Sara Daye,Sara Peoples/ Chaddic Nilotes,Sara Nilotes,,Central Sudanic Peoples,West & Central African Peoples,Tropical Gardeners,1966,Tropical Savannah,Aw,AH-Savannah,scfal921,1,,,,Sar,ISO 639-3: mwm,sarr1246,language,sarr1246,cent2225,Chad,,30001,30001,,,,,Lake Chad,31,wiki,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @WikiSara @EWCSara @Glottosarr1246 @Ethnomwm @ArensbergLomax1977Subsistence,10,"WELL, BUT GIS MAPS NOT USED",0,"There is no subcase info available for EA society Ai22. For now, all Sara societies in GJB matched to Ai22 (GJB30001; 30004; 30003; 30006; 30002; 62543).",Ai22,Sara,Sara (Ai22),xd351,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Prelim_check_GIS_not_used,DONE,DONE,
8.08,17.07,,,8.22,24.63,Africa,Central Africa,N Central Africa,N W Central African Rep/ S Chad/ S W Sudan,Sara Gor,Sara Peoples; Chaddic Nilotes,Sara Nilotes,,,West & Central African Peoples,Tropical Gardeners,1966,"Tropical Savannah, Warm Desert (N Sudan)","Aw, BWh",AH-Savannah,scfal921,1,,,,Sar,ISO 639-3: mwm,sarr1246,language,sarr1246,cent2225,Central African Republic; Chad; Sudan,,30004,30004,,,,,Lake Chad,31,wiki,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @WikiSara @EWCSara @Glottosarr1246 @Ethnomwm @ArensbergLomax1977Subsistence,10,"WELL, BUT GIS MAPS NOT USED",0,"There is no subcase info available for EA society Ai22. For now, all Sara societies in GJB matched to Ai22 (GJB30001; 30004; 30003; 30006; 30002; 62543).",Ai22,Sara,Sara (Ai22),xd351,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Prelim_check_GIS_not_used,DONE,DONE,
4.23,30.01,,,5.85,28,Africa,Central Africa,N Central Africa,S W South Sudan,Mundu,,Mundu-Baka,,Camaroon-Ubangian,West & Central African Peoples,African Pastoralists,1958,"Tropical Savannah, Arid Steppe Hot","Aw, BSh",,,1,,,,Mündü,ISO 639-3: muh,mund1326,language,mund1326,atla1278,South Sudan,,21891,21891,,,,,,,wiki,"The Mundu are a C Sudanic people inhabiting the Maridi district in W Equatoria. Their culture and social ethics are represented in their songs, poetry, art, dance and folklore. ",,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottomund1326 @Ethnomuh @WikiMundu,10,NOT CHECKED BY KK,0,NOT CHECKED BY KK,NOT CHECKED BY KK,,,,,,,,,,,,,,,,,,,,,,,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,
